Review,Sentiment,label
Kids innerwear not durable 👎,Negative,0
"Billing was fine, a bit slow",Neutral,1
Kids range very boring here,Negative,0
Cashier average for family shopping,Neutral,1
Colours stayed after many washes,Positive,2
"Billing ok, not the fastest",Neutral,1
Parking ok but limited spaces,Neutral,1
No acknowledgement of billing error,Negative,0
Bra quality far exceeded expectations,Positive,2
"Maternity range exists, very basic",Neutral,1
Kids briefs shrunk after wash,Negative,0
Trial room functional but basic,Neutral,1
"Manager responded eventually, took time",Neutral,1
Mens fabric light and comfy,Positive,2
Need store near Ernakulam,Negative,0
No thank you from staff,Negative,0
"Parking decent, could be managed",Neutral,1
Mens section ok for now,Neutral,1
Bra size range excellent here,Positive,2
Staff knew all section products,Positive,2
No proper queue management billing,Negative,0
Billing mistake admitted only reluctantly,Negative,0
Kids collection really impressive 👏,Positive,2
"Kids elastic average, functional enough",Neutral,1
"Ambience passable, nothing refreshing",Neutral,1
Maternity bra collection is grt,Positive,2
"Ambience nyc, good lighting inside",Positive,2
Grt prints for boys here,Positive,2
Kids fabric causing rash badly,Negative,0
"Billing average, expected better",Neutral,1
Kids fabric feels synthetic 😞,Negative,0
Soft cotton for kids innerwear,Positive,2
"Cashier not bad, not great",Neutral,1
"Seating arrangement ok, not ideal",Neutral,1
Billing experience was excellent 😊,Positive,2
"Polite cashier, gud experience",Positive,2
Mens briefs not durable at all,Negative,0
Staff pointed to wrong section,Negative,0
"Manager average, handled ok",Neutral,1
Cashier interrupted me rudely 😠,Negative,0
"Fabric avg, gets the job done",Neutral,1
Mens stitching came off fast,Negative,0
Kids innerwear very good value,Positive,2
Store space is too cramped,Negative,0
Fabric ok for the price,Neutral,1
Kids briefs very comfortable,Positive,2
"Store space ok, standard experience",Neutral,1
Fabric stays soft after wash,Positive,2
Bra padding perfectly even,Positive,2
Colours very vibrant here,Positive,2
Ambience vry comfortable here,Positive,2
Fabric quality really gone down,Negative,0
Cashier handled rush hour well,Positive,2
Gud billing experience overall,Positive,2
Mens range very limited here,Negative,0
Parking no issues at all,Positive,2
Bra fitting ok for daily use,Neutral,1
"Billing ok, little slow though",Neutral,1
Store experience average overall tbh,Neutral,1
Fabric softness just ok tbh,Neutral,1
Seating there but very limited,Neutral,1
Bra padding lumpy and uneven,Negative,0
Staff not apologetic for error,Negative,0
"Kids section ok, little cramped",Neutral,1
Colour bleeds in first wash 😠,Negative,0
Maternity collection very well stocked,Positive,2
"Staff ok la, job done",Neutral,1
Cashier very thoughtful and careful,Positive,2
Manager avoided my complaint completely,Negative,0
Nyc lace bra collection here,Positive,2
"Long queue, no extra counter",Negative,0
Cashier rude when corrected 😡,Negative,0
Billing was fine I suppose,Neutral,1
Parking gate too narrow for cars,Negative,0
Mens innerwear vry comfortable 👍,Positive,2
Billing experience very disappointing tbh,Negative,0
Loved the lace collection 😍,Positive,2
Bra underwire not placed right,Negative,0
Kids pattern selection very limited,Negative,0
"Colours ok, more variety needed",Neutral,1
Kids fabric no skin irritation,Positive,2
Staff spoke rudely in front,Negative,0
Parking is convenient at this store,Positive,2
Trial room doors dont close well,Negative,0
Cashier was just doing job,Neutral,1
"Mens stitching ok, no issues",Neutral,1
Nyc prints for kids here,Positive,2
"Bra padding ok, could improve",Neutral,1
Mens section nicely organised,Positive,2
Trial room queue always long 😠,Negative,0
"Kids cotton ok, slightly rough",Neutral,1
"Cashier busy on phone, ignored",Negative,0
Billing took much longer today,Negative,0
Grt size range for plus,Positive,2
Kids section well spaced out,Positive,2
Cashier too busy to help,Negative,0
Mens stitching very clean here,Positive,2
"Ambience acceptable, not impressive though",Neutral,1
Cashier was efficient and kind,Positive,2
Parking near store very convenient,Positive,2
Trial rooms always have long queue,Negative,0
No apology from rude staff,Negative,0
"Seating available, just enough",Neutral,1
Seating area clean and organised,Positive,2
Trial rooms too dark inside,Negative,0
Cashier counted change very slowly,Negative,0
Manager very polite and helpful,Positive,2
Kids quality ok for price,Neutral,1
"Grt staff, will come again",Positive,2
Ambience clean and well lit,Positive,2
Bra quality is poor 😞,Negative,0
Need proper parking management here,Negative,0
Staff helped but took time,Neutral,1
"Manager ok, average interaction",Neutral,1
Trial room lock broken always,Negative,0
Manager unavailable when needed 💔,Negative,0
Bra straps too narrow tbh,Negative,0
Bra fitting very uncomfortable tbh,Negative,0
Colour variety excellent for kids,Positive,2
Bra sizing very accurate here,Positive,2
Bra size range very limited,Negative,0
Bra collection very satisfying 😍,Positive,2
"Store ok, standard experience tbh",Neutral,1
Billing done quickly no issues,Positive,2
Mens briefs quality very poor 😞,Negative,0
Ambience average for Kerala retail,Neutral,1
Staff was dismissive and cold,Negative,0
Mens fabric super comfortable tbh,Positive,2
No staff support on floor,Negative,0
Trial room curtain very old,Negative,0
Mens sizes always out of stock,Negative,0
Mens briefs no moisture wicking,Negative,0
Kids innerwear fits perfectly,Positive,2
Trial room condition is poor,Negative,0
Need more seating urgently here,Negative,0
Cashier refused to recheck bill,Negative,0
"Ambience average, no wow factor",Neutral,1
"Sizing chart ok, not fully accurate",Neutral,1
Ambience just adequate overall,Neutral,1
"Mens innerwear ok, seen better",Neutral,1
Cashier handled queue well today,Positive,2
No floor assistance at all,Negative,0
Staff behaviour was pathetic tbh,Negative,0
Fabric genuinely good quality,Positive,2
Bra strap adjustment easy here,Positive,2
Mens colour options are nyc,Positive,2
Fabric decent for the cost,Neutral,1
Store space manageable most times,Neutral,1
Cashier attitude was terrible today,Negative,0
No seating for elderly customers,Negative,0
"Manager ok, nothing special",Neutral,1
Bra underwire breaks too soon,Negative,0
Nobody greeted at store entrance,Negative,0
Maternity briefs are very comfy,Positive,2
Mens sizing runs very large,Negative,0
Trial rooms grt overall experience,Positive,2
Cashier gave correct change fast,Positive,2
"Staff chatting, ignored customers 😤",Negative,0
Store corridors wide and clear,Positive,2
Parking sufficient for family visits,Positive,2
Kids range average for store,Neutral,1
Staff helped without being asked,Positive,2
Vry professional staff here,Positive,2
Seating comfortable near entrance,Positive,2
Staff assisted seniors graciously,Positive,2
"Seating ok, could use more",Neutral,1
Billing wrong for kids pack,Negative,0
No variety for mens innerwear,Negative,0
Parking space is adequate here,Positive,2
Mens innerwear no colour choice,Negative,0
Stitching good on mens wear,Positive,2
Staff behaviour excellent all day,Positive,2
Billing transparent and error free,Positive,2
Trial room mirror quality poor,Negative,0
"Cashier ok, tone a bit flat",Neutral,1
Very bad experience with cashier,Negative,0
Need seating for husbands waiting,Negative,0
Billing counter staff was polite,Positive,2
Seating adequate for whole family,Positive,2
Trial room hooks are missing,Negative,0
Need more space for kids section,Negative,0
"Kids innerwear average, usable",Neutral,1
Bra comfort better than expected,Positive,2
"Mens range ok, standard options",Neutral,1
Cashier never acknowledged waiting queue,Negative,0
Mens elastic very long lasting,Positive,2
Colour availability acceptable overall,Neutral,1
Staff neither good nor bad,Neutral,1
Open a branch in Palakkad,Negative,0
Cashier served with genuine smile,Positive,2
"Billing done correctly, process slow",Neutral,1
Open a branch in Thrissur,Negative,0
"Trial room ok, functional enough",Neutral,1
Need branch in Pathanamthitta pls,Negative,0
Need branch in Alappuzha pls,Negative,0
Manager was calm and helpful,Positive,2
Billing took too long 😒,Negative,0
"Mens collection ok, nothing exciting",Neutral,1
Stitching excellent throughout collection,Positive,2
"Mens fabric ok, dries quick",Neutral,1
Staff acknowledged me eventually,Neutral,1
Open store in Thrissur centre,Negative,0
Staff average response to query,Neutral,1
Range average for whole family,Neutral,1
Cashier overconfident about billing mistake,Negative,0
"Stitching ok, not wow though",Neutral,1
Billing smooth and professional 👏,Positive,2
Billing was acceptable overall,Neutral,1
"Ambience ok, relaxed enough",Neutral,1
Billing error still not fixed,Negative,0
Need seating throughout store urgently,Negative,0
Billing error not corrected fast,Negative,0
Kids fabric passable for daily,Neutral,1
Kids quality mid range tbh,Neutral,1
"Seating ok, minor inconvenience",Neutral,1
Fabric soft for mens wear,Positive,2
Maternity collection is excellent 👏,Positive,2
Store needs renovation soon 😞,Negative,0
Kids briefs tore in one week 😡,Negative,0
Mens size L always unavailable,Negative,0
Store ambience needs improvement,Negative,0
Seating available near trial rooms,Positive,2
Billing quick and clear today,Positive,2
Parking ok on normal days,Neutral,1
Separate kids trial room needed,Negative,0
"Billing fine, nothing to complain",Neutral,1
No greeting from any staff,Negative,0
Mens innerwear very comfortable 👍,Positive,2
Store very clean and fresh,Positive,2
Billing very fast on weekday,Positive,2
Manager gave average response tbh,Neutral,1
Felt unwelcome by store staff,Negative,0
"Store layout ok, little confusing",Neutral,1
Cashier very loud and rude,Negative,0
Staff made me wait needlessly,Negative,0
"Trial room ok, lighting average",Neutral,1
Seating enough for weekday shopping,Positive,2
Trial rooms have nice mirrors,Positive,2
"Trial rooms functional, nothing more",Neutral,1
Trial rooms need renovation badly,Negative,0
Kids fabric gentle and smooth,Positive,2
"Durable mens briefs, worth it",Positive,2
"Kids range ok, could add more",Neutral,1
"Cashier did minimum, no more",Neutral,1
Mens range no variety at all,Negative,0
"Kids sizing ok, minor variations",Neutral,1
Cashier smiled and greeted well,Positive,2
Bra underwire ok for daily,Neutral,1
Staff helped my kids section too,Positive,2
No maternity collection available,Negative,0
Billing ok for kids section,Neutral,1
"Mens fabric average, could improve",Neutral,1
"Ambience ok, not stand out",Neutral,1
"Store layout ok, slightly confusing",Neutral,1
Billing receipt not given first,Negative,0
Manager available and approachable,Positive,2
Comfortable enough for daily use,Neutral,1
Durable kids briefs after wash,Positive,2
Staff vry warm to children,Positive,2
Store feels easy to shop,Positive,2
"Billing ok, nothing memorable",Neutral,1
Parking always full on weekends,Negative,0
Billing section always understaffed tbh,Negative,0
Ambience warm and welcoming 😊,Positive,2
Store too crowded even weekdays,Negative,0
"Cashier did job, nothing more",Neutral,1
Store ambience just average,Neutral,1
Mens sizing very accurate here,Positive,2
Kids prints are really nyc,Positive,2
"Stitching acceptable, not premium feel",Neutral,1
Billing accurate first time always,Positive,2
Staff assisted whole family well,Positive,2
Billing error caused much stress,Negative,0
More trial rooms needed badly,Negative,0
No plus size options here,Negative,0
Staff refused exchange without reason,Negative,0
Manager ok but late to respond,Neutral,1
"Comfortable bra, zero complaints",Positive,2
Cashier vry attentive to detail,Positive,2
Kids cotton very gentle 😊,Positive,2
Billing fine for simple purchase,Neutral,1
"Manager came, handled ok I guess",Neutral,1
Store layout simple and clear,Positive,2
Bra straps keep slipping down,Negative,0
Cashier made shopping pleasant 😊,Positive,2
No dark colour options for men,Negative,0
More seating for waiting customers,Negative,0
Staff completely ignored complaint raised,Negative,0
"Billing fine, little disorganised though",Neutral,1
Cashier very calm under pressure,Positive,2
Billing counter person very slow 😒,Negative,0
Billing counter well staffed today,Positive,2
"Ambience ok, functional at best",Neutral,1
"Staff not rude, not friendly",Neutral,1
Mens innerwear average quality overall,Neutral,1
Billing was grt experience overall,Positive,2
Kids elastic excellent durability,Positive,2
Bra selection one of best,Positive,2
Maternity briefs decent for price,Neutral,1
"Seating ok, not very comfortable",Neutral,1
Fabric quality worth every rupee,Positive,2
Colour options excellent for bras,Positive,2
Staff response was just ok,Neutral,1
Trial rooms clean and well lit,Positive,2
Manager sorted my problem fast,Positive,2
Staff greeted well at entrance,Positive,2
Store too dim inside tbh,Negative,0
Cashier patient with elderly couple,Positive,2
Kids innerwear too thin tbh,Negative,0
Need branch near Irinjalakuda pls,Negative,0
Trial rooms clean with working locks,Positive,2
Billing very quick for family,Positive,2
"Trial room ok, basic mirrors",Neutral,1
Staff made me feel invisible,Negative,0
"Staff helped eventually, took time",Neutral,1
Need more branches in Kerala,Negative,0
Cashier gave itemised bill clearly,Positive,2
Need branch in Vadakara pls,Negative,0
"Rude cashier, bad experience 😡",Negative,0
Kids cotton feels rough on skin,Negative,0
Store is clean and well maintained,Positive,2
"Billing process ok, not smooth",Neutral,1
"Seating functional, nothing special",Neutral,1
Billing experience was just fine,Neutral,1
Store needs better air flow,Negative,0
Cashier efficient even during rush,Positive,2
"Billing done ok, process average",Neutral,1
Staff response was so so,Neutral,1
Staff was vry cooperative today,Positive,2
Store needs proper signage badly,Negative,0
Kids sizing accurate and good,Positive,2
Ambience soothing and fresh,Positive,2
Staff cheerful throughout our visit,Positive,2
Nyc fabric quality throughout store,Positive,2
"Bra fit ok, could be better",Neutral,1
Open store in Kozhikode pls,Negative,0
Cashier gave itemised bill promptly,Positive,2
No staff to guide in store,Negative,0
Store entry very congested tbh,Negative,0
Billing smooth even on weekend 💯,Positive,2
Colour selection very dull here,Negative,0
Trial rooms spacious and clean 😊,Positive,2
Bra fitting excellent experience,Positive,2
Store becomes very hot inside,Negative,0
No staff near kids section,Negative,0
Kids stretchable range very limited,Negative,0
Store well maintained and clean,Positive,2
Trial rooms very hygienic here,Positive,2
Staff unaware of mens range,Negative,0
"Seating ok, gets job done",Neutral,1
Fitting average for bra section,Neutral,1
"Billing no errors, very happy",Positive,2
Cashier was very rude 😠,Negative,0
Parking managed well on weekends,Positive,2
No seamless options for men,Negative,0
Store layout acceptable but basic,Neutral,1
"Trial room ok, needs cleaning",Neutral,1
Kids briefs fade quickly 😞,Negative,0
Trial rooms are clean and spacious,Positive,2
Bra comfort passable for now,Neutral,1
Cashier was average on weekend,Neutral,1
Kids sizing ok but not perfect,Neutral,1
Trial rooms available and clean 😊,Positive,2
Billing took forever to finish,Negative,0
Parking very close to entrance,Positive,2
Staff ok for basic needs,Neutral,1
Bra straps hold firmly 👍,Positive,2
Bra quality average for price,Neutral,1
Ambience nyc for whole family,Positive,2
Fabric tears at seams fast,Negative,0
Billing was smooth and fast,Positive,2
Need branch in Thrissur north,Negative,0
"Quality ok, matches price point",Neutral,1
"Fabric ok, does what needed",Neutral,1
Store ambience average overall,Neutral,1
Staff attitude very poor 👎,Negative,0
Seating comfortable for waiting family,Positive,2
"Trial rooms ok, could be bigger",Neutral,1
Bra quality mid range tbh,Neutral,1
Billing counter well managed today,Positive,2
Good seating near billing area,Positive,2
Staff was very helpful 😊,Positive,2
Cashier gave no eye contact,Negative,0
Billing printed with wrong items,Negative,0
Waistband too loose for men,Negative,0
Kids innerwear durable and comfy,Positive,2
Soft fabric for kids 😊,Positive,2
Need bigger store space here,Negative,0
Mens sizes only S and M,Negative,0
"Ambience gr8, felt comfortable",Positive,2
"Mens colours ok, mostly basics",Neutral,1
Store feels cluttered and messy,Negative,0
Parking space is very limited,Negative,0
Trial rooms well ventilated 👍,Positive,2
Fabric soft as expected 😊,Positive,2
Kids cotton too rough tbh,Negative,0
Need trial room near kids section,Negative,0
Trial room experience was good,Positive,2
Staff guided me nicely inside,Positive,2
Kids quality worse than before,Negative,0
Store very presentable and tidy,Positive,2
"Staff not vry friendly, just ok",Neutral,1
Staff not trained at all,Negative,0
Staff vry pleasant experience here,Positive,2
"Trial room decent, nothing more",Neutral,1
"Billing average, nothing to praise",Neutral,1
Seating arrangement average overall,Neutral,1
Manager handled issue well 👍,Positive,2
Seating area is well placed,Positive,2
Parking manageable on regular days,Neutral,1
Staff helped find my size,Positive,2
Soft comfortable fabric overall 😊,Positive,2
"Ambience ok, standard retail feel",Neutral,1
Bra range impressive for store,Positive,2
"Trial room ok, queue manageable",Neutral,1
Seating arrangements thoughtful and good,Positive,2
No staff for senior customers,Negative,0
"Parking ok, not ideal though",Neutral,1
Kids quality not value for money,Negative,0
Bra underwire poking out badly,Negative,0
"Parking convenient, no long walks",Positive,2
"Cashier decent, could be warmer",Neutral,1
Staff knew exact product locations,Positive,2
Polite and knowledgeable staff here,Positive,2
No air freshener in trial rooms,Negative,0
Fabric feels super soft 💯,Positive,2
Staff cooperative with special requests,Positive,2
Store nicely decorated inside,Positive,2
Kids elastic stretches and holds,Positive,2
Stitching very neat on kids,Positive,2
Staff knew products well 👏,Positive,2
Kids range wide and varied,Positive,2
Parking ok during weekdays,Neutral,1
Bra comfort average experience,Neutral,1
Colour transfer on white clothes,Negative,0
Fabric shrinks badly after wash,Negative,0
Need more trial rooms urgently,Negative,0
Mens briefs shrunk after wash,Negative,0
Store signage very clear here,Positive,2
Trial rooms clean and accessible,Positive,2
"Cashier overcharged, no correction",Negative,0
Parking expensive and far away,Negative,0
Kids colour faded first wash,Negative,0
Manager very unapproachable today 😞,Negative,0
Ambience pleasant for family shopping,Positive,2
Bra clasp broke first day,Negative,0
Grt maternity briefs available,Positive,2
Billing error caused me trouble,Negative,0
Ambience vry pleasing here 💯,Positive,2
Need parking for two wheelers,Negative,0
"Loved the fit, will buy again ❤️",Positive,2
Quality ok across most items,Neutral,1
Mens brief waistband rolls down,Negative,0
"Kids selection manageable, not wide",Neutral,1
Overcharged me at billing counter,Negative,0
Mens elastic broke after wash,Negative,0
Cashier very impatient with kids,Negative,0
"Cashier was functional, nothing more",Neutral,1
No help finding correct size,Negative,0
No good kids prints available,Negative,0
Trial room mirrors clean and clear,Positive,2
"Cashier handled it, not warmly",Neutral,1
"Billing ok, minor confusion though",Neutral,1
Trial room privacy curtain missing,Negative,0
No changing table for babies,Negative,0
Kids sizing is completely off,Negative,0
Trial room flooring needs fixing,Negative,0
"Store too hot, no AC",Negative,0
Trial rooms proper with mirrors,Positive,2
Manager not visible on floor,Negative,0
Bra selection decent but basic,Neutral,1
"Trial room ok, cleanliness average",Neutral,1
Store feels welcoming and bright,Positive,2
No background music in store,Negative,0
Kids section needs better layout,Negative,0
Open branch near Trivandrum,Negative,0
Mens range better than expected,Positive,2
Manager mediocre but sorted issue,Neutral,1
Nyc colours available for women,Positive,2
Store feels very crowded always,Negative,0
Cashier was ok I guess,Neutral,1
Kids innerwear very value for money,Positive,2
"Cashier ok, not very communicative",Neutral,1
Kids colour options just ok,Neutral,1
Trial room pegs are broken,Negative,0
Staff very patient with questions,Positive,2
Manager very understanding of issue,Positive,2
"Kids prints ok, basic options",Neutral,1
No organic cotton options here,Negative,0
Cashier overcharged kids items,Negative,0
Kids elastic cuts into skin 😡,Negative,0
Parking ok on weekdays only,Neutral,1
Open branch in Calicut pls,Negative,0
Kids collection vibrant and fun,Positive,2
Kids innerwear quality is gr8,Positive,2
Store entrance always blocked,Negative,0
"Ambience good, felt welcome here",Positive,2
"Kids section ok, a bit cramped",Neutral,1
"Store layout ok, minor issues",Neutral,1
Manager did not help at all 😞,Negative,0
Fabric feels cheap and thin,Negative,0
No full coverage bra options,Negative,0
Bra clasps too difficult to open,Negative,0
Staff gave attitude for exchange,Negative,0
Grt variety for all sizes,Positive,2
Mens innerwear grt value here,Positive,2
Staff presence throughout store grt,Positive,2
Very friendly staff overall,Positive,2
Store space utilised really well,Positive,2
Grt seamless options available here,Positive,2
Bra padding shifted after wash,Negative,0
Fabric causing skin rash 💔,Negative,0
Kids innerwear quality is poor,Negative,0
"Manager average, nothing standout",Neutral,1
"Mens quality ok, not impressed",Neutral,1
Trial rooms well maintained here,Positive,2
No staff in mens section at all,Negative,0
Cashier was neither rude nor nice,Neutral,1
Staff made kids feel welcome,Positive,2
Need AC in fitting rooms,Negative,0
Store maintained very well here,Positive,2
Seating near kids section good,Positive,2
Mens fabric feels cheap tbh,Negative,0
Billing was average experience,Neutral,1
Staff attitude was really bad,Negative,0
"Staff ok la, gets job done",Neutral,1
Store layout is easy to navigate,Positive,2
Billing counter staff very cold,Negative,0
Store layout very difficult to follow,Negative,0
Family friendly store layout,Positive,2
Need branch near Malappuram pls,Negative,0
Seating area too small here,Negative,0
Cashier missing from counter long,Negative,0
Store space ok for weekdays,Neutral,1
Trial room ventilation very poor,Negative,0
Wrong amount charged on bill,Negative,0
Kids stitching neat and clean 💯,Positive,2
Manager helped with men section,Positive,2
"Parking difficult, need improvement",Negative,0
Bra band too wide tbh,Negative,0
"Billing fine, expected better though",Neutral,1
Trial rooms need proper curtains,Negative,0
Store needs better signage,Negative,0
"Cashier functional, bit robotic",Neutral,1
Staff helpful when directly asked,Neutral,1
"Trial room ok, average maintained",Neutral,1
Kids colour options are nyc,Positive,2
Billing experience was truly gud,Positive,2
Bra hook broke within days,Negative,0
"Manager ok, resolved but slowly",Neutral,1
"Billing counter ok, not ideal",Neutral,1
Kids briefs waistband breaks fast,Negative,0
Manager came to assist quickly,Positive,2
Seating near billing just ok,Neutral,1
Store very spacious for shopping,Positive,2
"Manager came eventually, issue sorted",Neutral,1
Manager proactively helped us out,Positive,2
"Bra quality average, nothing special",Neutral,1
Colour selection basic but ok,Neutral,1
Manager sorted in under a minute,Positive,2
Kids winter range not available,Negative,0
"Trial rooms clean, grt experience",Positive,2
"Kids elastic ok, not durable",Neutral,1
Elastic broke within a week,Negative,0
Nobody at kids section counter,Negative,0
"Family shopping ok, manageable",Neutral,1
No staff in trial section,Negative,0
Grt mens innerwear range,Positive,2
Mens briefs fit perfectly 😊,Positive,2
Mens innerwear feels very rough,Negative,0
Billing receipt had wrong items,Negative,0
Cashier spoke down to me,Negative,0
Fabric feels plasticky and cheap,Negative,0
"Fabric ok, nothing special though",Neutral,1
Billing very slow on weekends,Negative,0
"Rude manager, very disappointing 😡",Negative,0
Billing counter grt on weekdays,Positive,2
Cashier welcomed us warmly,Positive,2
Staff smiled and assisted well,Positive,2
Staff attitude was really good,Positive,2
Parking ok but gets full,Neutral,1
"Staff ok, not great either",Neutral,1
"Ambience passable, nothing memorable",Neutral,1
"Staff ok, gets basics done",Neutral,1
Bra quality really worth it,Positive,2
"Staff ok, nothing special though",Neutral,1
Fabric pills after two washes,Negative,0
Billing counter very well managed,Positive,2
"Staff present, not very active",Neutral,1
Trial rooms need hooks inside,Negative,0
Staff very helpful with exchange,Positive,2
Helpful staff at every section,Positive,2
No extra counter despite long queue,Negative,0
Staff present but not proactive,Neutral,1
Bra comfort ok for price,Neutral,1
Open more branches in Kochi,Negative,0
Limited kids sizes available,Negative,0
"Ambience just ok, nothing wow",Neutral,1
"Mens sizing ok, runs slightly small",Neutral,1
"Quick billing, no waiting at all",Positive,2
"Size range ok, could be more",Neutral,1
Ambience very calm and relaxed,Positive,2
Manager took too long to come,Negative,0
Need separate billing for families,Negative,0
Manager very responsive to feedback,Positive,2
Fabric gentle on sensitive skin,Positive,2
Good number of trial rooms here,Positive,2
Kids collection average here,Neutral,1
Staff showed kids range nicely,Positive,2
"Cashier ok, average experience tbh",Neutral,1
Fabric quality consistently good,Positive,2
Store corridors blocked by boxes,Negative,0
Manager brushed off my feedback,Negative,0
"Trial rooms ok, queue manageable",Neutral,1
Kids elastic broke very fast,Negative,0
No lace options in store,Negative,0
Staff ok for a weekday,Neutral,1
Cashier made queue move fast,Positive,2
Store overcrowded on festival season,Negative,0
Bra underwire digs in painfully,Negative,0
Staff directed me incorrectly,Negative,0
Billing smooth and well managed,Positive,2
Billing experience was mediocre,Neutral,1
"Trial room ok, needs upgrade",Neutral,1
Grt women collection available,Positive,2
Gud service from all staff,Positive,2
Billing counter very efficient today,Positive,2
No assistance for elderly shoppers,Negative,0
Ambience very pleasant overall 💯,Positive,2
Mens briefs ride up always,Negative,0
Staff ignored me completely 👎,Negative,0
"Bra collection ok, not impressive",Neutral,1
Kids briefs ok for daily use,Neutral,1
